-63,-28,28.25,9,5; ,0,001805; ,80,LOKALNE-1,50233e-06; ,3,76906e-17; ,80,LOKALNE
-41,-21,16.5,4; ,0,00032; ,80,LOKALNE-9,04266e-05; ,1,63532e-13; ,80,LOKALNE
23,-12,13,4,66667; ,0,000435556; ,80,LOKALNE-2,20257e-05; ,9,69515e-15; ,80,LOKALNE
41,51,76,67,6667; ,-0,607092; ,80,LOKALNE62,7269; ,-0,921198; ,80,LOKALNE
29,-28.5,9,-3,5; ,0,000245; ,80,LOKALNE-7,58417e-05; ,1,15032e-13; ,80,LOKALNE
78,43,68,59,6667; ,-0,790256; ,80,LOKALNE62,7269; ,-0,921198; ,80,LOKALNE
16,-19,6,-2,33333; ,0,000108889; ,80,LOKALNE-2,83187e-05; ,1,60315e-14; ,80,LOKALNE
-65,-30,26.25,7,5; ,0,001125; ,80,LOKALNE2,2535e-05; ,1,01491e-14; ,80,LOKALNE
90,55,80,71,6667; ,-0,186329; ,80,LOKALNE62,727; ,-0,921198; ,80,LOKALNE
-58,-23,33.25,14,5; ,0,004205; ,80,LOKALNE-6,15956e-05; ,7,58729e-14; ,80,LOKALNE
-12,-12,8,1,33333; ,3,55556e-05; ,80,LOKALNE-3,77583e-05; ,2,85063e-14; ,80,LOKALNE
6,-14,6,-0,666667; ,8,88889e-06; ,80,LOKALNE1,88791e-05; ,7,12099e-15; ,80,LOKALNE
-60,-25,31.25,12,5; ,0,003125; ,80,LOKALNE-3,75583e-05; ,2,82051e-14; ,80,LOKALNE
42,52,77,68,6667; ,-0,497229; ,80,LOKALNE62,727; ,-0,921198; ,80,LOKALNE
-36,-16,21.5,9; ,0,00162; ,80,LOKALNE-0,00010015; ,2,00593e-13; ,80,LOKALNE
-52,-17,39.25,20,5; ,0,00840501; ,80,LOKALNE-6,61026e-05; ,8,73836e-14; ,80,LOKALNE
-54,-19,37.25,18,5; ,0,006845; ,80,LOKALNE-4,20653e-05; ,3,53823e-14; ,80,LOKALNE
-95,-37.5,46.875,18,75; ,0,00703125; ,80,LOKALNE1,39274e-05; ,3,87199e-15; ,80,LOKALNE
-10,-10,10,3,33333; ,0,000222222; ,80,LOKALNE-3,14652e-05; ,1,97938e-14; ,80,LOKALNE
29,-28.5,9,-3,5; ,0,000245; ,80,LOKALNE-7,58417e-05; ,1,15032e-13; ,80,LOKALNE
70,50,70,63,3333; ,-0,915684; ,80,LOKALNE62,7269; ,-0,921198; ,80,LOKALNE
50,50,70,63,3333; ,-0,915684; ,80,LOKALNE62,7269; ,-0,921198; ,80,LOKALNE
-94,-36.5,47.875,19,75; ,0,00780125; ,80,LOKALNE-6,24875e-05; ,7,80863e-14; ,80,LOKALNE
1,-9,11,4,33333; ,0,000375556; ,80,LOKALNE-5,9784e-05; ,7,1475e-14; ,80,LOKALNE
93,35.5,73,60,5; ,-0,8496; ,80,LOKALNE62,7269; ,-0,921198; ,80,LOKALNE
48,48,68,61,3333; ,-0,892515; ,80,LOKALNE62,7269; ,-0,921198; ,80,LOKALNE
-71,-36,20.25,1,5; ,4,5e-05; ,80,LOKALNE2,7042e-05; ,1,46179e-14; ,80,LOKALNE
-77,14.25,140.812,98,625; ,0,19454; ,80,LOKALNE62,727; ,-0,921198; ,80,LOKALNE
-16,-6,19,10,6667; ,0,00227556; ,80,LOKALNE-5,03444e-05; ,5,06837e-14; ,80,LOKALNE
54,54,74,67,3333; ,-0,642444; ,80,LOKALNE62,7269; ,-0,921198; ,80,LOKALNE
56,56,76,69,3333; ,-0,423296; ,80,LOKALNE62,727; ,-0,921198; ,80,LOKALNE
-60,-25,31.25,12,5; ,0,003125; ,80,LOKALNE-3,75583e-05; ,2,82051e-14; ,80,LOKALNE
66,56,76,69,3333; ,-0,423296; ,80,LOKALNE62,727; ,-0,921198; ,80,LOKALNE
76,56,76,69,3333; ,-0,423296; ,80,LOKALNE62,727; ,-0,921198; ,80,LOKALNE
31,-26.5,11,-1,5; ,4,5e-05; ,80,LOKALNE-0,000108901; ,2,37181e-13; ,80,LOKALNE
8,-12,8,1,33333; ,3,55556e-05; ,80,LOKALNE-3,77583e-05; ,2,85063e-14; ,80,LOKALNE
44,54,79,70,6667; ,-0,281678; ,80,LOKALNE62,7269; ,-0,921198; ,80,LOKALNE
-61,-26,30.25,11,5; ,0,002645; ,80,LOKALNE-2,55396e-05; ,1,3038e-14; ,80,LOKALNE
-74,-39,17.25,-1,5; ,4,5e-05; ,80,LOKALNE-7,21119e-05; ,1,03995e-13; ,80,LOKALNE
23,-12,13,4,66667; ,0,000435556; ,80,LOKALNE-2,20257e-05; ,9,69515e-15; ,80,LOKALNE
37,-20.5,17,4,5; ,0,000405; ,80,LOKALNE1,06956e-05; ,2,28048e-15; ,80,LOKALNE
38,-19.5,18,5,5; ,0,000605; ,80,LOKALNE-5,83398e-06; ,6,73256e-16; ,80,LOKALNE
18,-17,8,-0,333333; ,2,22222e-06; ,80,LOKALNE-3,77583e-05; ,2,85063e-14; ,80,LOKALNE
-18,-8,17,8,66667; ,0,00150222; ,80,LOKALNE-4,09048e-05; ,3,34566e-14; ,80,LOKALNE
29,-28.5,9,-3,5; ,0,000245; ,80,LOKALNE-7,58417e-05; ,1,15032e-13; ,80,LOKALNE
41,51,76,67,6667; ,-0,607092; ,80,LOKALNE62,7269; ,-0,921198; ,80,LOKALNE
